XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,ItemControlNumber,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Contributor,AlternateTitle,Title,Provider/Publisher,Description/Summary,Collection,AccessionNumber,PhysicalLocation,Repository,CopyrightHolder,Rights,Subjects,Genre,Century,DateAttribute,DateCreated,OriginalBroadcastDate,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,Dimensions,TypeOfMaterial,PlaybackSpeed,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,NoteToHenry,Finished,Cassette Information
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3d81f3bf773a463,1.1.1.11.0,scpa-019962-0003,00:46:20,00:05:20,"Side A; Side B of the second tape is 00:46:33, but is blank so no derivatives of it exist",DCMR,"Ostrye, Sarah",2013-04-10,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC Type I
UMDM,,,,,1.1.1.12.0,,,,,,,,,,,,,"John Weidman - Dramatists' Guild - Interviewers: Jackson R. Bryer and Richard A. Davison, February 9, 2004",,"John Weidman interviewed by University of Maryland professor Jackson R. Bryerand  Richard A. Davison on February 9, 2004.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2004-02-09,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,,,,Interview begins without introductions; general tape hiss; cyclical clicking throughout recording; end of side A is cut off; beginning and end of Side B are cut off.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=1e703fce3ef7490,1.1.1.12.0,scpa-019901-0001,00:46:21,00:46:14,Side A,DCMR,"Ostrye, Sarah",2013-04-03,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=aa5aac562c164d2,1.1.1.12.0,scpa-019901-0002,00:46:32,00:46:19,Side B,DCMR,"Ostrye, Sarah",2013-04-03,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I
UMDM,,,,,1.1.1.13.0,,,,,,,,,,,,,"Stephen Sondheim - NY, NY - Interviewers: Jackson R. Bryer and Richard A. Davison, June 15, 2004",,"Stephen Sondheim interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on June 15, 2004.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2004-06-15,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,Interview begins without introductions; side A is cut off; strong tape hiss on side B; cyclical clicking throughout recording; dropout between 00:15:20 and 00:15:22 and overall low sound levels on Side B so that conversation is not always intelligible.,Check out Side B. Can you test DeNoise or Audition's equivalent to remove the white noise/hiss?; OK DONE! HB,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=96dac1f6266f414,1.1.1.13.0,scpa-019416-0001,00:46:34,00:46:10,Side A,DCMR,"Peim, Krista Anderson",2013-03-13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Radioshack; Length: 90; Oxide: Type I; Low Noise; Equalization: IEC Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9ba08b6a9c824bc,1.1.1.13.0,scpa-019416-0002,00:46:12,00:27:00,"Dropout between 00:15:20 and 00:15:22? on Side B.; HB applied Adobe Audition's ""Noise Reduction (Process)"" effect reduce 9.1 dB of broadband noise for derivatives to improve clarity.",DCMR,"Peim, Krista Anderson",2013-03-13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Radioshack; Length: 90; Oxide: Type I; Low Noise; Equalization: IEC Type I
UMDM,,,,,1.1.1.14.0,,,,,,,,,,,,,"Tommy Tune - NYC - Interviewers: Jackson R. Bryer and Richard A. Davison (two cassettes), June 30, 2003",,"Tommy Tune interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on June 30, 2003.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2003-06-30,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,"Interview begins without introductions; tape hiss, cyclical clicking noise, and hum of tape recorder persistent across recording; end of Side A of first tape cut off; beginning and end of Side B of first tape cut off; loud pop at 00:40:00 on Side B of second tape.",,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=134ce7e14f2e43b,1.1.1.14.0,scpa-019938-0001,00:45:54,00:45:49,Side A,DCMR,"Peim, Krista Anderson",2013-04-03,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=8b062d5323744d5,1.1.1.14.0,scpa-019938-0002,00:45:48,00:45:47,Side B,DCMR,"Peim, Krista Anderson",2013-04-03,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II
