XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,Rights,Subjects,Genre,CreatedDateCertainty,DateAnalogCreated,OriginalBroadcastDate,SizeReel,TypeofMaterial,InchesperSecond,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,UMDM,UMAM,ShareStreamURLs,
UMDM,WMUC-Reel-199,,,,,,,,,,,"Managra/Amalgamation on WMUC live #1, 4/13/98","Managra/Amalgamation on WMUC live #1, 4/13/98, ADAT",,"WMUC (Radio station : College Park, Md.)","Managra/Amalgamation on WMUC live #1, University of Maryland, April 13, 1998.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1998-04-13,1998-04-13,,ADAT,,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-199,bcast-020358-0001,00:43:17,00:35:40,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-020358-0001 = kick drum, bcast-020358-0002 = snare drum, bcast-020358-0003 = overhead mic, bcast-020358-0004 = bass guitar , bcast-020358-0005 = guitar 1, bcast-020358-0006 = guitar 2, bcast-020358-0007 = vocal mic 1, bcast-020358-0008 = vocal mic 2 and trumpet; bcast-020358-0009 is the submaster produced for derivatives; on Wells drive",1 Bassdrum; 2 Snare; 3 overhead; 4 Bass; 5 guitar; 6 guitar; 7 vox; 8 vox/trumpet,,mono,DCMR,"Borchers, Henry",2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5183c664e1a24ec,
UMDM,WMUC-Reel-200,,,,,,,,,,,"The Stalag 17, 7/6/97","The Stalag 17, 7/6/97, VHS",,"WMUC (Radio station : College Park, Md.)","The Stalag 17 live on WMUC, University of Maryland, July 6, 1997.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-07-06,1997-07-06,,ADAT,,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-200,bcast-020407-0001,00:43:19,00:26:43,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-020407-0001 = kick drum, bcast-020407-0002 = snare drum, bcast-020407-0003 = hihats and cymbals overhead mic, bcast-020407-0004 = bass guitar, bcast-020407-0005 = guitar 1, bcast-020407-0006 = guitar 2, bcast-020407-0007 = vocal mic 1, bcast-020407-0008 = vocal mic 2; bcast-020407-0009 is the submaster produced for derivatives; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=652d17d2b66e40b,
UMDM,WMUC-Reel-201,,,,,,,,,,,"The Boom, Third Rail Radio, undated","The Boom, Third Rail Radio, VHS",,"WMUC (Radio station : College Park, Md.)","The Boom, Third Rail Radio, WMUC, University of Maryland, undated.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,undated,undated,,ADAT,,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-201,bcast-020408-0001,00:41:09,00:39:00,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-020408-0001 = kick drum, bcast-020408-0002 = snare drum, bcast-020408-0003 = hihats and cymbals overhead mic, bcast-020408-0004 = overhead mi, bcast-020408-0005 = Bass, bcast-020408-0006 = Guitar, bcast-020408-0007 = sax, bcast-020408-0008 = vocal mic; bcast-020408-0009 is the submaster produced for derivatives; on Wells drive",Digital clicks in first two minutes and at 00:14:31 are artifacts of the third stem on the recording,,mono,DCMR,"Borchers, Henry",2013-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=247d57da474c438,
UMDM,WMUC-Reel-202,,,,,,,,,,,"Savage Boys and Girls Club/Jetlag, 8/2/97","Savage Boys and Girls Club/Jetlag, 8/2/97, VHS",,"WMUC (Radio station : College Park, Md.)","Savage Boys and Girls Club/Jetlag, Third Rail Radio, WMUC, University of Maryland, August 2, 1997.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-08-02,1997-08-02,,ADAT,,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-202,bcast-020413-0001,00:41:17,00:40:51,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-020413-0001 = kick drum, bcast-020413-0002 = snare drum, bcast-020413-0003 = drums overhead mic 1, bcast-020413-0004 = drums overhead mic 2, bcast-020413-0005 = bass, bcast-020413-0006 = guitar, bcast-020413-0007 = vocal mic 1, bcast-020413-0008 = vocal mic 2; bcast-020413-0009 is the submaster produced for derivatives; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=fbf472a1944a40c,
UMDM,WMUC-Reel-203,,,,,,,,,,,"The Abducted, Third Rail Radio, 8/10/97","The Abducted, Third Rail Radio, 8/10/97, VHS",,"WMUC (Radio station : College Park, Md.)","The Abducted, Third Rail Radio, WMUC, University of Maryland, August 10, 1997.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-08-10,1997-08-10,,ADAT,,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-203,bcast-020424-0001,00:16:18,00:14:41,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-020424-0001 = kick drum, bcast-020424-0002 = snare drum, bcast-020424-0003 = cymbals mic, bcast-020424-0004 = overhead mic, bcast-020424-0005 =bass, bcast-020424-0006 = guitar, bcast-020424-0007 = vocal mic 1, bcast-020424-0008 = vocal mic 2; bcast-020424-0009 is the submaster produced for derivatives; on Wells drive",First minute is mostly silence and off-mic studio talk.,,mono,DCMR,"Borchers, Henry",2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f1861293a4c54c3,
UMDM,WMUC-Reel-204,,,,,,,,,,,"Impossible 5, Third Rail Radio #8, 11/3/97","Impossible 5, Third Rail Radio #8 live at WMUC, 11/3/97, ADAT",,"WMUC (Radio station : College Park, Md.)","Impossible 5, Third Rail Radio #8 live at WMUC, University of Maryland, November 3, 1997.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-11-03,1997-11-03,,ADAT,,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
